Data;Taxa de câmbio - R$ / US$ - comercial - venda - média - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERV12;
1946.07;7,23636363636364E-15;
1946.08;7,2E-15;
1946.09;6,80727272727273E-15;
1946.10;6,80727272727273E-15;
1946.11;6,80727272727273E-15;
1946.12;6,80727272727273E-15;
1947.01;6,80727272727273E-15;
1947.02;6,80727272727273E-15;
1947.03;6,80727272727273E-15;
1947.04;6,80727272727273E-15;
1947.05;6,80727272727273E-15;
1947.06;6,80727272727273E-15;
1947.07;6,80727272727273E-15;
1947.08;6,80727272727273E-15;
1947.09;6,80727272727273E-15;
1947.10;6,80727272727273E-15;
1947.11;6,80727272727273E-15;
1947.12;6,80727272727273E-15;
1948.01;6,80727272727273E-15;
1948.02;6,80727272727273E-15;
1948.03;6,80727272727273E-15;
1948.04;6,80727272727273E-15;
1948.05;6,80727272727273E-15;
1948.06;6,80727272727273E-15;
1948.07;6,80727272727273E-15;
1948.08;6,80727272727273E-15;
1948.09;6,80727272727273E-15;
1948.10;6,80727272727273E-15;
1948.11;6,80727272727273E-15;
1948.12;6,80727272727273E-15;
1949.01;6,80727272727273E-15;
1949.02;6,80727272727273E-15;
1949.03;6,80727272727273E-15;
1949.04;6,80727272727273E-15;
1949.05;6,80727272727273E-15;
1949.06;6,80727272727273E-15;
1949.07;6,80727272727273E-15;
1949.08;6,80727272727273E-15;
1949.09;6,80727272727273E-15;
1949.10;6,80727272727273E-15;
1949.11;6,80727272727273E-15;
1949.12;6,80727272727273E-15;
1950.01;6,80727272727273E-15;
1950.02;6,80727272727273E-15;
1950.03;6,80727272727273E-15;
1950.04;6,80727272727273E-15;
1950.05;6,80727272727273E-15;
1950.06;6,80727272727273E-15;
1950.07;6,80727272727273E-15;
1950.08;6,80727272727273E-15;
1950.09;6,80727272727273E-15;
1950.10;6,80727272727273E-15;
1950.11;6,80727272727273E-15;
1950.12;6,80727272727273E-15;
1951.01;6,80727272727273E-15;
1951.02;6,80727272727273E-15;
1951.03;6,80727272727273E-15;
1951.04;6,80727272727273E-15;
1951.05;6,80727272727273E-15;
1951.06;6,80727272727273E-15;
1951.07;6,80727272727273E-15;
1951.08;6,80727272727273E-15;
1951.09;6,80727272727273E-15;
1951.10;6,80727272727273E-15;
1951.11;6,80727272727273E-15;
1951.12;6,80727272727273E-15;
1952.01;6,80727272727273E-15;
1952.02;6,80727272727273E-15;
1952.03;6,80727272727273E-15;
1952.04;6,80727272727273E-15;
1952.05;6,80727272727273E-15;
1952.06;6,80727272727273E-15;
1952.07;6,80727272727273E-15;
1952.08;6,80727272727273E-15;
1952.09;6,80727272727273E-15;
1952.10;6,80727272727273E-15;
1952.11;6,80727272727273E-15;
1952.12;6,80727272727273E-15;
1953.01;6,80727272727273E-15;
1953.02;1,39120363636364E-14;
1953.03;1,39120363636364E-14;
1953.04;1,52484727272727E-14;
1953.05;1,46393090909091E-14;
1953.06;1,60254545454545E-14;
1953.07;1,61381818181818E-14;
1953.08;1,47882545454545E-14;
1953.09;1,39951636363636E-14;
1953.10;1,38545454545455E-14;
1953.11;1,40351636363636E-14;
1953.12;1,93079272727273E-14;
1954.01;2,04981818181818E-14;
1954.02;1,99610545454545E-14;
1954.03;2,17982545454545E-14;
1954.04;2,11236363636364E-14;
1954.05;1,89618909090909E-14;
1954.06;2,05575636363636E-14;
1954.07;2,09677454545455E-14;
1954.08;2,18334181818182E-14;
1954.09;2,23151636363636E-14;
1954.10;2,30956E-14;
1954.11;2,38848363636364E-14;
1954.12;2,58768363636364E-14;
1955.01;2,67038181818182E-14;
1955.02;2,60129818181818E-14;
1955.03;2,63929454545455E-14;
1955.04;2,72848363636364E-14;
1955.05;2,74545454545455E-14;
1955.06;2,74424363636364E-14;
1955.07;2,69854545454545E-14;
1955.08;2,59882545454545E-14;
1955.09;2,55939272727273E-14;
1955.10;2,43401818181818E-14;
1955.11;2,36424363636364E-14;
1955.12;2,38416363636364E-14;
1956.01;2,42111272727273E-14;
1956.02;2,50846545454545E-14;
1956.03;2,49794545454545E-14;
1956.04;2,54788E-14;
1956.05;2,63225818181818E-14;
1956.06;2,83636363636364E-14;
1956.07;2,82228727272727E-14;
1956.08;2,61818181818182E-14;
1956.09;2,6E-14;
1956.10;2,43636363636364E-14;
1956.11;2,43393818181818E-14;
1956.12;2,36598181818182E-14;
1957.01;2,38181818181818E-14;
1957.02;2,38285818181818E-14;
1957.03;2,40727272727273E-14;
1957.04;2,37842545454545E-14;
1957.05;2,49677454545455E-14;
1957.06;2,66363636363636E-14;
1957.07;2,58498545454545E-14;
1957.08;2,69243272727273E-14;
1957.09;2,87636363636364E-14;
1957.10;2,99120363636364E-14;
1957.11;3,14509090909091E-14;
1957.12;3,38979636363636E-14;
1958.01;3,37724363636364E-14;
1958.02;3,62065090909091E-14;
1958.03;3,75343272727273E-14;
1958.04;4,11393818181818E-14;
1958.05;4,74275636363636E-14;
1958.06;4,76484727272727E-14;
1958.07;4,89653818181818E-14;
1958.08;5,05196363636364E-14;
1958.09;5,73151636363636E-14;
1958.10;5,33700727272727E-14;
1958.11;5,15939272727273E-14;
1958.12;5,02616E-14;
1959.01;5,27190545454545E-14;
1959.02;5,17571272727273E-14;
1959.03;5,09345454545455E-14;
1959.04;4,98072727272727E-14;
1959.05;4,88109090909091E-14;
1959.06;5,01454545454546E-14;
1959.07;5,44254545454545E-14;
1959.08;5,58181818181818E-14;
1959.09;5,58181818181818E-14;
1959.10;5,87800727272727E-14;
1959.11;6,44727272727273E-14;
1959.12;6,69454545454545E-14;
1960.01;6,90618181818182E-14;
1960.02;6,77272727272727E-14;
1960.03;6,76363636363636E-14;
1960.04;6,76363636363636E-14;
1960.05;6,76363636363636E-14;
1960.06;6,76363636363636E-14;
1960.07;6,76363636363636E-14;
1960.08;6,76363636363636E-14;
1960.09;6,76363636363636E-14;
1960.10;6,76363636363636E-14;
1960.11;6,76363636363636E-14;
1960.12;6,81642181818182E-14;
1961.01;7,61890909090909E-14;
1961.02;8E-14;
1961.03;8,97054545454545E-14;
1961.04;1,02629090909091E-13;
1961.05;9,82181818181818E-14;
1961.06;9,56727272727273E-14;
1961.07;9,6E-14;
